103_1241_000000_000000	CHAPTER II.	CHAPTER two.	false	0.81	23.25	18.930151
103_1241_000007_000001	"But there was a passenger dropped off for you--a little girl.	"But there was a passenger dropped off for you-a little girl.	true	147.14	150.15	22.282738
103_1241_000007_000002	She's sitting out there on the shingles.	She's sitting out there on the shingles.	true	150.15	151.93	19
103_1241_000007_000003	I asked her to go into the ladies' waiting room, but she informed me gravely that she preferred to stay outside.	I asked her to go into the ladies' waiting room, but she informed me gravely that she preferred to stay outside.	true	152.03	157.14	17.77339
103_1241_000007_000004	'There was more scope for imagination,' she said.	'There was more scope for imagination,' she said.	false	157.14	159.91	19
103_1241_000007_000005	She's a case, I should say."	She's a case, I should say."	true	160.01	161.53	15
103_1241_000008_000000	"I'm not expecting a girl," said Matthew blankly.	"I'm not expecting a girl," said matthew blankly.	true	162.32	165.13	19.682396
103_1241_000008_000001	"It's a boy I've come for.	"It's a boy I've come for.	true	165.32	166.935	22.589165
103_1241_000008_000002	He should be here.	He should be here.	true	166.935	167.98	19.092875
103_1241_000008_000003	Mrs. Alexander Spencer was to bring him over from Nova Scotia for me."	mrs Alexander Spencer was to bring him over from Nova Scotia for me."	true	168.08	171.88	16
103_1241_000009_000000	The stationmaster whistled.	The stationmaster whistled.	true	172.1	173.67	16.81953
103_1241_000010_000000	"Guess there's some mistake," he said.	"Guess there's some mistake," he said.	false	173.67	176.14	20.315767
103_1241_000010_000001	"Mrs. Spencer came off the train with that girl and gave her into my charge.	"mrs Spencer came off the train with that girl and gave her into my charge.	true	176.21	179.89	18
103_1241_000010_000002	Said you and your sister were adopting her from an orphan asylum and that you would be along for her presently.	Said you and your sister were adopting her from an orphan asylum and that you would be along for her presently.	true	179.9	185.05	15
103_1241_000010_000003	That's all I know about it--and I haven't got any more orphans concealed hereabouts."	That's all I know about it-and I haven't got any more orphans concealed hereabouts."	true	185.06	189.34	18
103_1241_000011_000000	"I don't understand," said Matthew helplessly, wishing that Marilla was at hand to cope with the situation.	"I don't understand," said matthew helplessly, wishing that Marilla was at hand to cope with the situation.	true	190.04	195.94	15
103_1241_000012_000000	"Well, you'd better question the girl," said the station-master carelessly.	"Well, you'd better question the girl," said the station master carelessly.	true	196.31	199.87	19.722122
103_1241_000012_000001	"I dare say she'll be able to explain--she's got a tongue of her own, that's certain.	"I dare say she'll be able to explain-she's got a tongue of her own, that's certain.	false	200.12	204.04	17
103_1241_000012_000002	Maybe they were out of boys of the brand you wanted."	Maybe they were out of boys of the brand you wanted."	true	204.44	206.83	21.613869
103_1241_000013_000000	He walked jauntily away, being hungry, and the unfortunate Matthew was left to do that which was harder for him than bearding a lion in its den--walk up to a girl--a strange girl--an orphan girl--and demand of her why she wasn't a boy.	He walked jauntily away, being hungry, and the unfortunate matthew was left to do that which was harder for him than bearding a lion in its den-walk up to a girl-a strange girl-an orphan girl-and demand of her why she wasn't a boy.	true	207.08	221.62	19
103_1241_000013_000001	Matthew groaned in spirit as he turned about and shuffled gently down the platform towards her.	matthew groaned in spirit as he turned about and shuffled gently down the platform towards her.	true	221.84	227.11	17
103_1241_000014_000000	She had been watching him ever since he had passed her and she had her eyes on him now.	She had been watching him ever since he had passed her and she had her eyes on him now.	true	227.6	232.06	17
103_1241_000014_000001	Matthew was not looking at her and would not have seen what she was really like if he had been, but an ordinary observer would have seen this: A child of about eleven, garbed in a very short, very tight, very ugly dress of yellowish-gray wincey.	matthew was not looking at her and would not have seen what she was really like if he had been, but an ordinary observer would have seen this: A child of about eleven, garbed in a very short, very tight, very ugly dress of yellowish gray wincey.	false	232.22	246.76	20.010817
103_1241_000014_000002	She wore a faded brown sailor hat and beneath the hat, extending down her back, were two braids of very thick, decidedly red hair.	She wore a faded brown sailor hat and beneath the hat, extending down her back, were two braids of very thick, decidedly red hair.	true	246.77	254.83	17
103_1241_000014_000003	Her face was small, white and thin, also much freckled; her mouth was large and so were her eyes, which looked green in some lights and moods and gray in others.	Her face was small, white and thin, also much freckled; her mouth was large and so were her eyes, which looked green in some lights and moods and gray in others.	true	255.26	264.97	20
103_1241_000015_000000	So far, the ordinary observer; an extraordinary observer might have seen that the chin was very pointed and pronounced; that the big eyes were full of spirit and vivacity; that the mouth was sweet-lipped and expressive; that the forehead was broad and full; in short, our discerning extraordinary observer might have concluded that no commonplace soul inhabited the body of this stray woman-child of whom shy Matthew Cuthbert was so ludicrously afraid.	So far, the ordinary observer; an extraordinary observer might have seen that the chin was very pointed and pronounced; that the big eyes were full of spirit and vivacity; that the mouth was sweet lipped and expressive; that the forehead was broad and full; in short, our discerning extraordinary observer might have concluded that no commonplace soul inhabited the body of this stray woman child of whom shy matthew Cuthbert was so ludicrously afraid.	true	265.61	291.37	18
103_1241_000016_000000	Matthew, however, was spared the ordeal of speaking first, for as soon as she concluded that he was coming to her she stood up, grasping with one thin brown hand the handle of a shabby, old-fashioned carpet-bag; the other she held out to him.	matthew, however, was spared the ordeal of speaking first, for as soon as she concluded that he was coming to her she stood up, grasping with one thin brown hand the handle of a shabby, old-fashioned carpet bag; the other she held out to him.	true	291.86	305.41	19
103_1241_000017_000000	"I suppose you are Mr. Matthew Cuthbert of Green Gables?" she said in a peculiarly clear, sweet voice.	"I suppose you are mr matthew Cuthbert of Green Gables?" she said in a peculiarly clear, sweet voice.	true	305.66	311.08	21.803852
103_1241_000017_000001	"I'm very glad to see you.	"I'm very glad to see you.	true	311.15	312.55	20.805862
103_1241_000017_000002	I was beginning to be afraid you weren't coming for me and I was imagining all the things that might have happened to prevent you.	I was beginning to be afraid you weren't coming for me and I was imagining all the things that might have happened to prevent you.	true	312.56	317.89	14
103_1241_000017_000003	I had made up my mind that if you didn't come for me to-night I'd go down the track to that big wild cherry-tree at the bend, and climb up into it to stay all night.	I had made up my mind that if you didn't come for me to night I'd go down the track to that big wild cherry tree at the bend, and climb up into it to stay all night.	false	318.17	325.9	18
103_1241_000017_000004	I wouldn't be a bit afraid, and it would be lovely to sleep in a wild cherry-tree all white with bloom in the moonshine, don't you think? You could imagine you were dwelling in marble halls, couldn't you?	I wouldn't be a bit afraid, and it would be lovely to sleep in a wild cherry tree all white with bloom in the moonshine, don't you think? You could imagine you were dwelling in marble halls, couldn't you?	true	326.03	335.53	17
103_1241_000017_000005	And I was quite sure you would come for me in the morning, if you didn't to-night."	And I was quite sure you would come for me in the morning, if you didn't to night."	true	335.81	339.13	18
103_1241_000018_000000	Matthew had taken the scrawny little hand awkwardly in his; then and there he decided what to do.	matthew had taken the scrawny little hand awkwardly in his; then and there he decided what to do.	true	339.74	345.4	17
103_1241_000018_000001	He could not tell this child with the glowing eyes that there had been a mistake; he would take her home and let Marilla do that.	He could not tell this child with the glowing eyes that there had been a mistake; he would take her home and let Marilla do that.	true	345.83	352.33	19
103_1241_000018_000002	She couldn't be left at Bright River anyhow, no matter what mistake had been made, so all questions and explanations might as well be deferred until he was safely back at Green Gables.	She couldn't be left at Bright River anyhow, no matter what mistake had been made, so all questions and explanations might as well be deferred until he was safely back at Green Gables.	true	352.49	361.27	18
103_1241_000019_000000	"I'm sorry I was late," he said shyly.	"I'm sorry I was late," he said shyly.	true	361.76	364.18	18.351492
103_1241_000019_000001	"Come along.	"Come along.	true	364.31	365.14	18.44151
103_1241_000019_000002	The horse is over in the yard.	The horse is over in the yard.	true	365.24	366.85	19.349281
103_1241_000019_000003	Give me your bag."	Give me your bag."	true	366.98	368.175	19.734472
103_1241_000020_000000	"Oh, I can carry it," the child responded cheerfully.	"Oh, I can carry it," the child responded cheerfully.	true	368.175	370.9	22.002724
103_1241_000020_000001	"It isn't heavy. I've got all my worldly goods in it, but it isn't heavy.	"It isn't heavy. I've got all my worldly goods in it, but it isn't heavy.	true	370.94	375.07	21.355793
103_1241_000020_000002	And if it isn't carried in just a certain way the handle pulls out--so I'd better keep it because I know the exact knack of it.	And if it isn't carried in just a certain way the handle pulls out-so I'd better keep it because I know the exact knack of it.	true	375.17	381.16	18
103_1241_000020_000003	It's an extremely old carpet-bag.	It's an extremely old carpet bag.	true	381.23	383.29	19.360691
103_1241_000020_000004	Oh, I'm very glad you've come, even if it would have been nice to sleep in a wild cherry-tree.	Oh, I'm very glad you've come, even if it would have been nice to sleep in a wild cherry tree.	true	383.36	387.55	18
103_1241_000020_000005	We've got to drive a long piece, haven't we?	We've got to drive a long piece, haven't we?	true	387.74	389.62	20.922506
103_1241_000020_000006	Mrs. Spencer said it was eight miles.	mrs Spencer said it was eight miles.	true	389.72	391.63	17.764122
103_1241_000020_000007	I'm glad because I love driving.	I'm glad because I love driving.	true	391.64	393.39	19.232985
103_1241_000020_000008	Oh, it seems so wonderful that I'm going to live with you and belong to you.	Oh, it seems so wonderful that I'm going to live with you and belong to you.	true	393.39	396.64	14
103_1241_000020_000009	I've never belonged to anybody--not really.	I've never belonged to anybody-not really.	true	396.68	399.04	19.223633
103_1241_000020_000010	But the asylum was the worst.	But the asylum was the worst.	true	399.05	400.6	17.980616
103_1241_000020_000011	I've only been in it four months, but that was enough.	I've only been in it four months, but that was enough.	true	400.73	403.51	19.768503
103_1241_000020_000012	I don't suppose you ever were an orphan in an asylum, so you can't possibly understand what it is like.	I don't suppose you ever were an orphan in an asylum, so you can't possibly understand what it is like.	true	403.58	408.37	15
103_1241_000020_000013	It's worse than anything you could imagine.	It's worse than anything you could imagine.	true	408.53	410.65	17.881872
103_1241_000020_000014	Mrs. Spencer said it was wicked of me to talk like that, but I didn't mean to be wicked.	mrs Spencer said it was wicked of me to talk like that, but I didn't mean to be wicked.	false	410.72	414.88	16
103_1241_000020_000015	It's so easy to be wicked without knowing it, isn't it?	It's so easy to be wicked without knowing it, isn't it?	false	414.89	417.4	16
103_1241_000020_000016	They were good, you know--the asylum people.	They were good, you know-the asylum people.	true	417.56	420.13	21.982021
103_1241_000020_000017	But there is so little scope for the imagination in an asylum--only just in the other orphans.	But there is so little scope for the imagination in an asylum-only just in the other orphans.	true	420.35	425.47	16
103_1241_000020_000018	It was pretty interesting to imagine things about them--to imagine that perhaps the girl who sat next to you was really the daughter of a belted earl, who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess.	It was pretty interesting to imagine things about them-to imagine that perhaps the girl who sat next to you was really the daughter of a belted earl, who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess.	true	426.08	437.5	15
103_1241_000020_000019	I used to lie awake at nights and imagine things like that, because I didn't have time in the day.	I used to lie awake at nights and imagine things like that, because I didn't have time in the day.	true	437.87	442.18	16
103_1241_000020_000020	I guess that's why I'm so thin--I AM dreadful thin, ain't I? There isn't a pick on my bones.	I guess that's why I'm so thin-I a m dreadful thin, ain't I? There isn't a pick on my bones.	true	442.43	447.43	19.453352
103_1241_000020_000021	I do love to imagine I'm nice and plump, with dimples in my elbows."	I do love to imagine I'm nice and plump, with dimples in my elbows."	true	447.53	451.09	14
103_1241_000021_000000	With this Matthew's companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.	With this Matthew's companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.	true	451.97	458.38	20
103_1241_000021_000001	Not another word did she say until they had left the village and were driving down a steep little hill, the road part of which had been cut so deeply into the soft soil, that the banks, fringed with blooming wild cherry-trees and slim white birches, were several feet above their heads.	Not another word did she say until they had left the village and were driving down a steep little hill, the road part of which had been cut so deeply into the soft soil, that the banks, fringed with blooming wild cherry trees and slim white birches, were several feet above their heads.	true	458.51	472.57	17
103_1241_000022_000000	The child put out her hand and broke off a branch of wild plum that brushed against the side of the buggy.	The child put out her hand and broke off a branch of wild plum that brushed against the side of the buggy.	true	473.12	478.21	19.274412
103_1241_000023_000000	"Isn't that beautiful?	"Isn't that beautiful?	true	478.52	479.92	15
103_1241_000023_000001	What did that tree, leaning out from the bank, all white and lacy, make you think of?" she asked.	What did that tree, leaning out from the bank, all white and lacy, make you think of?" she asked.	true	480.41	485.35	18.019753
103_1241_000024_000000	"Well now, I dunno," said Matthew.	"Well now, I dunno," said matthew.	true	485.36	488.2	17.383564
103_1241_000025_000000	"Why, a bride, of course--a bride all in white with a lovely misty veil. I've never seen one, but I can imagine what she would look like.	"Why, a bride, of course-a bride all in white with a lovely misty veil. I've never seen one, but I can imagine what she would look like.	true	488.69	497.08	17.82652
103_1241_000025_000001	I don't ever expect to be a bride myself.	I don't ever expect to be a bride myself.	true	497.21	499.53	17
103_1241_000025_000002	I'm so homely nobody will ever want to marry me--unless it might be a foreign missionary.	I'm so homely nobody will ever want to marry me-unless it might be a foreign missionary.	true	499.53	503.97	17
103_1241_000025_000003	I suppose a foreign missionary mightn't be very particular.	I suppose a foreign missionary mightn't be very particular.	true	503.97	506.83	16
103_1241_000025_000004	But I do hope that some day I shall have a white dress.	But I do hope that some day I shall have a white dress.	true	507.02	509.83	17
103_1241_000025_000005	That is my highest ideal of earthly bliss.	That is my highest ideal of earthly bliss.	true	509.9	512.32	15
103_1241_000025_000006	I just love pretty clothes.	I just love pretty clothes.	true	512.57	514.06	18
103_1241_000025_000007	And I've never had a pretty dress in my life that I can remember--but of course it's all the more to look forward to, isn't it?	And I've never had a pretty dress in my life that I can remember-but of course it's all the more to look forward to, isn't it?	true	514.13	520.21	20.26683
103_1241_000025_000008	And then I can imagine that I'm dressed gorgeously.	And then I can imagine that I'm dressed gorgeously.	true	520.28	523	21
103_1241_000025_000009	This morning when I left the asylum I felt so ashamed because I had to wear this horrid old wincey dress.	This morning when I left the asylum I felt so ashamed because I had to wear this horrid old wincey dress.	true	523.1	528.07	12
103_1241_000025_000010	All the orphans had to wear them, you know.	All the orphans had to wear them, you know.	true	528.38	530.17	19.460371
103_1241_000025_000011	A merchant in Hopeton last winter donated three hundred yards of wincey to the asylum.	A merchant in Hopeton last winter donated three hundred yards of wincey to the asylum.	true	530.18	534.37	15
103_1241_000025_000012	Some people said it was because he couldn't sell it, but I'd rather believe that it was out of the kindness of his heart, wouldn't you?	Some people said it was because he couldn't sell it, but I'd rather believe that it was out of the kindness of his heart, wouldn't you?	true	534.56	539.8	14
103_1241_000025_000013	When we got on the train I felt as if everybody must be looking at me and pitying me.	When we got on the train I felt as if everybody must be looking at me and pitying me.	true	540.11	544.39	20
103_1241_000025_000014	But I just went to work and imagined that I had on the most beautiful pale blue silk dress--because when you ARE imagining you might as well imagine something worth while--and a big hat all flowers and nodding plumes, and a gold watch, and kid gloves and boots.	But I just went to work and imagined that I had on the most beautiful pale blue silk dress-because when you ARE imagining you might as well imagine something worth while-and a big hat all flowers and nodding plumes, and a gold watch, and kid gloves and boots.	true	544.55	559.21	19
103_1241_000025_000015	I felt cheered up right away and I enjoyed my trip to the Island with all my might.	I felt cheered up right away and I enjoyed my trip to the Island with all my might.	true	559.25	563.47	19.895937
103_1241_000025_000016	I wasn't a bit sick coming over in the boat.	I wasn't a bit sick coming over in the boat.	true	564.11	566.35	20.894287
103_1241_000025_000017	Neither was Mrs. Spencer although she generally is.	Neither was mrs Spencer although she generally is.	true	566.36	568.93	17
103_1241_000025_000018	She said she hadn't time to get sick, watching to see that I didn't fall overboard.	She said she hadn't time to get sick, watching to see that I didn't fall overboard.	true	569.18	572.8	19
103_1241_000025_000019	She said she never saw the beat of me for prowling about.	She said she never saw the beat of me for prowling about.	true	572.81	575.5	20.300198
103_1241_000025_000020	But if it kept her from being seasick it's a mercy I did prowl, isn't it?	But if it kept her from being seasick it's a mercy I did prowl, isn't it?	true	575.69	579.1	17
103_1241_000025_000021	And I wanted to see everything that was to be seen on that boat, because I didn't know whether I'd ever have another opportunity.	And I wanted to see everything that was to be seen on that boat, because I didn't know whether I'd ever have another opportunity.	true	579.23	584.37	15
103_1241_000025_000022	Oh, there are a lot more cherry-trees all in bloom!	Oh, there are a lot more cherry trees all in bloom!	false	584.37	588.76	19.344976
103_1241_000025_000023	This Island is the bloomiest place.	This Island is the bloomiest place.	true	588.98	591.09	15
103_1241_000025_000024	I just love it already, and I'm so glad I'm going to live here.	I just love it already, and I'm so glad I'm going to live here.	true	591.09	594.04	16
103_1241_000025_000025	I've always heard that Prince Edward Island was the prettiest place in the world, and I used to imagine I was living here, but I never really expected I would.	I've always heard that Prince Edward Island was the prettiest place in the world, and I used to imagine I was living here, but I never really expected I would.	true	594.14	601.6	17
103_1241_000025_000026	It's delightful when your imaginations come true, isn't it? But those red roads are so funny.	It's delightful when your imaginations come true, isn't it? But those red roads are so funny.	true	601.79	606.67	19
103_1241_000025_000027	When we got into the train at Charlottetown and the red roads began to flash past I asked Mrs. Spencer what made them red and she said she didn't know and for pity's sake not to ask her any more questions.	When we got into the train at Charlottetown and the red roads began to flash past I asked mrs Spencer what made them red and she said she didn't know and for pity's sake not to ask her any more questions.	true	606.74	615.735	16
103_1241_000025_000028	She said I must have asked her a thousand already.	She said I must have asked her a thousand already.	true	615.735	617.985	21.34722
103_1241_000025_000029	I suppose I had, too, but how you going to find out about things if you don't ask questions?	I suppose I had, too, but how you going to find out about things if you don't ask questions?	false	617.985	622.48	15
103_1241_000025_000030	And what DOES make the roads red?"	And what DOES make the roads red?"	true	622.67	624.52	22.194014
103_1241_000026_000000	"Well now, I dunno," said Matthew.	"Well now, I dunno," said matthew.	true	625.22	628.27	20.441305
103_1241_000027_000000	"Well, that is one of the things to find out sometime.	"Well, that is one of the things to find out sometime.	true	628.85	631.14	24.115463
103_1241_000027_000001	Isn't it splendid to think of all the things there are to find out about?	Isn't it splendid to think of all the things there are to find out about?	false	631.14	634.63	19.852865
103_1241_000027_000002	It just makes me feel glad to be alive--it's such an interesting world.	It just makes me feel glad to be alive-it's such an interesting world.	true	634.67	638.62	20
103_1241_000027_000003	It wouldn't be half so interesting if we know all about everything, would it?	It wouldn't be half so interesting if we know all about everything, would it?	false	638.69	641.68	15
103_1241_000027_000004	There'd be no scope for imagination then, would there?	There'd be no scope for imagination then, would there?	false	641.75	644.35	18.614124
103_1241_000027_000005	But am I talking too much?	But am I talking too much?	true	644.6	645.915	22.064632
103_1241_000027_000006	People are always telling me I do.	People are always telling me I do.	true	645.915	647.62	19.040491
103_1241_000027_000007	Would you rather I didn't talk?	Would you rather I didn't talk?	true	647.66	649.26	20.715174
103_1241_000027_000008	If you say so I'll stop.	If you say so I'll stop.	true	649.26	650.88	19.336472
103_1241_000027_000009	I can STOP when I make up my mind to it, although it's difficult."	I can STOP when I make up my mind to it, although it's difficult."	true	650.88	654.13	20
103_1241_000028_000000	Matthew, much to his own surprise, was enjoying himself.	matthew, much to his own surprise, was enjoying himself.	true	654.53	658.33	19.789171
103_1241_000028_000001	Like most quiet folks he liked talkative people when they were willing to do the talking themselves and did not expect him to keep up his end of it.	Like most quiet folks he liked talkative people when they were willing to do the talking themselves and did not expect him to keep up his end of it.	true	658.49	665.35	17
103_1241_000028_000002	But he had never expected to enjoy the society of a little girl.	But he had never expected to enjoy the society of a little girl.	true	665.57	668.74	16
103_1241_000028_000003	Women were bad enough in all conscience, but little girls were worse.	Women were bad enough in all conscience, but little girls were worse.	true	668.93	672.73	20.600815
103_1241_000028_000004	He detested the way they had of sidling past him timidly, with sidewise glances, as if they expected him to gobble them up at a mouthful if they ventured to say a word.	He detested the way they had of sidling past him timidly, with sidewise glances, as if they expected him to gobble them up at a mouthful if they ventured to say a word.	true	672.74	681.37	15
103_1241_000028_000005	That was the Avonlea type of well-bred little girl.	That was the Avonlea type of well bred little girl.	true	681.89	684.7	19
103_1241_000028_000006	But this freckled witch was very different, and although he found it rather difficult for his slower intelligence to keep up with her brisk mental processes he thought that he "kind of liked her chatter." So he said as shyly as usual:	But this freckled witch was very different, and although he found it rather difficult for his slower intelligence to keep up with her brisk mental processes he thought that he "kind of liked her chatter." So he said as shyly as usual:	true	684.77	698.32	19.750011
103_1241_000029_000000	"Oh, you can talk as much as you like.	"Oh, you can talk as much as you like.	true	698.45	701.02	16
103_1241_000029_000001	I don't mind."	I don't mind."	true	701.03	702.01	20.233482
103_1241_000030_000000	"Oh, I'm so glad.	"Oh, I'm so glad.	true	702.62	703.9	23.56052
103_1241_000030_000001	I know you and I are going to get along together fine.	I know you and I are going to get along together fine.	true	704.21	707.02	19.956512
103_1241_000030_000002	It's such a relief to talk when one wants to and not be told that children should be seen and not heard.	It's such a relief to talk when one wants to and not be told that children should be seen and not heard.	true	707.12	711.88	15
103_1241_000030_000003	I've had that said to me a million times if I have once.	I've had that said to me a million times if I have once.	true	712.16	715.36	16
103_1241_000030_000004	And people laugh at me because I use big words.	And people laugh at me because I use big words.	true	715.52	717.97	18.943905
103_1241_000030_000005	But if you have big ideas you have to use big words to express them, haven't you?"	But if you have big ideas you have to use big words to express them, haven't you?"	true	718.16	722.17	17
103_1241_000031_000000	"Well now, that seems reasonable," said Matthew.	"Well now, that seems reasonable," said matthew.	true	722.72	726.49	17.325722
103_1241_000032_000000	"Mrs. Spencer said that my tongue must be hung in the middle.	"mrs Spencer said that my tongue must be hung in the middle.	true	726.77	729.46	15
103_1241_000032_000001	But it isn't--it's firmly fastened at one end.	But it isn't-it's firmly fastened at one end.	true	729.65	732.25	20.724361
103_1241_000032_000002	Mrs. Spencer said your place was named Green Gables.	mrs Spencer said your place was named Green Gables.	true	732.35	734.925	17
103_1241_000032_000003	I asked her all about it.	I asked her all about it.	true	734.925	736.3	22.38376
103_1241_000032_000004	And she said there were trees all around it.	And she said there were trees all around it.	true	736.31	738.465	18
103_1241_000032_000005	I was gladder than ever.	I was gladder than ever.	true	738.465	739.62	16
103_1241_000032_000006	I just love trees.	I just love trees.	true	739.62	740.95	19.714302
103_1241_000032_000007	And there weren't any at all about the asylum, only a few poor weeny-teeny things out in front with little whitewashed cagey things about them. They just looked like orphans themselves, those trees did.	And there weren't any at all about the asylum, only a few poor weeny teeny things out in front with little whitewashed cagey things about them. They just looked like orphans themselves, those trees did.	true	741.08	751.14	16
103_1241_000032_000008	It used to make me want to cry to look at them.	It used to make me want to cry to look at them.	true	751.14	753.28	17
103_1241_000032_000009	I used to say to them, 'Oh, you POOR little things!	I used to say to them, 'Oh, you POOR little things!	true	753.32	756.42	19.109653
103_1241_000032_000010	If you were out in a great big woods with other trees all around you and little mosses and Junebells growing over your roots and a brook not far away and birds singing in you branches, you could grow, couldn't you?	If you were out in a great big woods with other trees all around you and little mosses and Junebells growing over your roots and a brook not far away and birds singing in you branches, you could grow, couldn't you?	false	756.42	766.27	17
103_1241_000032_000011	But you can't where you are.	But you can't where you are.	true	766.49	768.045	21
103_1241_000032_000012	I know just exactly how you feel, little trees.' I felt sorry to leave them behind this morning.	I know just exactly how you feel, little trees.' I felt sorry to leave them behind this morning.	true	768.045	773.11	17
103_1241_000032_000013	You do get so attached to things like that, don't you?	You do get so attached to things like that, don't you?	true	773.3	775.71	18
103_1241_000032_000014	Is there a brook anywhere near Green Gables?	Is there a brook anywhere near Green Gables?	false	775.71	778.035	19
103_1241_000032_000015	I forgot to ask Mrs. Spencer that."	I forgot to ask mrs Spencer that."	true	778.035	779.74	17
103_1241_000033_000000	"Well now, yes, there's one right below the house."	"Well now, yes, there's one right below the house."	true	780.29	784.33	16
103_1241_000034_000000	"Fancy.	"Fancy.	true	784.46	785.41	20.737913
103_1241_000034_000001	It's always been one of my dreams to live near a brook.	It's always been one of my dreams to live near a brook.	true	785.63	788.31	18
103_1241_000034_000002	I never expected I would, though.	I never expected I would, though.	true	788.31	790.03	20
103_1241_000034_000003	Dreams don't often come true, do they? Wouldn't it be nice if they did?	Dreams don't often come true, do they? Wouldn't it be nice if they did?	true	790.16	793.96	19.228632
103_1241_000034_000004	But just now I feel pretty nearly perfectly happy.	But just now I feel pretty nearly perfectly happy.	true	794.09	797.16	19.88647
103_1241_000034_000005	I can't feel exactly perfectly happy because--well, what color would you call this?"	I can't feel exactly perfectly happy because-well, what color would you call this?"	true	797.16	803.17	20.872229
103_1241_000035_000000	She twitched one of her long glossy braids over her thin shoulder and held it up before Matthew's eyes.	She twitched one of her long glossy braids over her thin shoulder and held it up before Matthew's eyes.	true	803.66	809.2	16
